Brewery,City,Name,Abv,Ibu,Srm,Tags
Aksarben Brewing (BOP),Omaha,Bavarian Bock,?,?,?,german_lager|traditional_german_style_bock
Aksarben Brewing (BOP),Omaha,Bourbon Imperial Stout,?,?,?,?
Aksarben Brewing (BOP),Omaha,Brout,?,?,?,?
Aksarben Brewing (BOP),Omaha,Harvest Brown,?,?,?,north_american_ale|american_style_brown_ale
Aksarben Brewing (BOP),Omaha,Heater,?,?,?,north_american_ale|american_style_amber_red_ale
Aksarben Brewing (BOP),Omaha,Witbier,?,?,?,?
Breckenridge BBQ of Omaha,Omaha,Avalanche Amber,?,?,?,north_american_ale|american_style_amber_red_ale
Breckenridge BBQ of Omaha,Omaha,India Pale Ale,?,?,?,north_american_ale|american_style_pale_ale
Breckenridge BBQ of Omaha,Omaha,Mountain Wheat,?,?,?,north_american_lager|american_style_lager
Breckenridge BBQ of Omaha,Omaha,Oatmeal Stout,?,?,?,north_american_ale|american_style_stout
Breckenridge BBQ of Omaha,Omaha,Raspberry Porter,?,?,?,?
Breckenridge BBQ of Omaha,Omaha,Strong Scotch Ale,8.6%,?,?,british_ale|scotch_ale
Copper Eagle Brewing,Grand Island,Copper Wheat,?,?,?,north_american_ale|american_style_pale_ale
Copper Eagle Brewing,Grand Island,Guinea Pig Amber Ale,?,?,?,north_american_ale|american_style_amber_red_ale
Copper Eagle Brewing,Grand Island,Red Rooster Pale Ale,?,?,?,north_american_ale|american_style_pale_ale
Crane River Brewpub and Cafe,Lincoln,Carhenge Wheat,?,?,?,?
Crane River Brewpub and Cafe,Lincoln,Flaming Crane Chili Beer,?,?,?,?
Crane River Brewpub and Cafe,Lincoln,Good Life Stout,?,?,?,north_american_ale|american_style_stout
Crane River Brewpub and Cafe,Lincoln,Homestead Pale Ale,?,?,?,north_american_ale|american_style_pale_ale
Crane River Brewpub and Cafe,Lincoln,Oktoberfest Ale,?,?,?,german_lager|german_style_oktoberfest
Crane River Brewpub and Cafe,Lincoln,Platte Valley ESB,?,?,?,?
Crane River Brewpub and Cafe,Lincoln,Porter,?,?,?,irish_ale|porter
Crane River Brewpub and Cafe,Lincoln,Red Top Rye,?,?,?,north_american_lager|american_style_lager
Crane River Brewpub and Cafe,Lincoln,Sod House Altbier,?,?,?,north_american_ale|american_style_brown_ale
Crane River Brewpub and Cafe,Lincoln,Weizen,?,?,?,north_american_lager|american_style_lager
Crane River Brewpub and Cafe,Lincoln,Whooping Wheat,?,?,?,?
Crane River Brewpub and Cafe,Lincoln,ZlatÃ© Pivo Golden Beer,?,?,?,?
Crane River Brewpub and Cafe,Lincoln,Zoo Brew 25,?,?,?,north_american_ale|american_style_pale_ale
Empyrean Brewing Company,Lincoln,Black Jack Stout,?,?,?,north_american_ale|american_style_stout
Empyrean Brewing Company,Lincoln,Burning Skye Scottish Ale,?,?,?,?
Empyrean Brewing Company,Lincoln,Chaco Canyon Honey Gold,?,?,?,?
Empyrean Brewing Company,Lincoln,Collapsar Oatmeal Stout,?,?,?,north_american_ale|american_style_stout
Empyrean Brewing Company,Lincoln,Dark German Lager,?,?,?,?
Empyrean Brewing Company,Lincoln,Dark Side Vanilla Porter,?,?,?,?
Empyrean Brewing Company,Lincoln,Eccentric Ale,?,?,?,north_american_ale|american_style_brown_ale
Empyrean Brewing Company,Lincoln,Eccentric Belgian Wheat,?,?,?,?
Empyrean Brewing Company,Lincoln,Empyrean Oktoberfest,?,?,?,german_lager|german_style_oktoberfest
Empyrean Brewing Company,Lincoln,Espresso Porter,?,?,?,?
Empyrean Brewing Company,Lincoln,Fallen Angel Sweet Stout,?,?,?,north_american_ale|american_style_stout
Empyrean Brewing Company,Lincoln,Festive Ale 2000,?,?,?,north_american_ale|american_style_pale_ale
Empyrean Brewing Company,Lincoln,Festive Ale 2006,?,?,?,?
Empyrean Brewing Company,Lincoln,Festive Ale 2007,?,?,?,?
Empyrean Brewing Company,Lincoln,Luna Sea Amber,?,?,?,?
Empyrean Brewing Company,Lincoln,Maple Nut Brown,?,?,?,north_american_ale|american_style_brown_ale
Empyrean Brewing Company,Lincoln,Solar Flare Summer Ale,?,?,?,?
Empyrean Brewing Company,Lincoln,Summer Common,?,?,?,?
Empyrean Brewing Company,Lincoln,Third Stone Brown,?,?,?,north_american_ale|american_style_brown_ale
Gottberg Brew Pub,Columbus,1916 Irish Stout,3.5%,?,?,north_american_ale|american_style_stout
Gottberg Brew Pub,Columbus,Abtskelder Tripel,8.4%,?,?,?
Gottberg Brew Pub,Columbus,All-American Gold,?,?,?,?
Gottberg Brew Pub,Columbus,All-American Lager (discontinued),?,?,?,?
Gottberg Brew Pub,Columbus,Belgian Ale (discontinued),?,?,?,?
Gottberg Brew Pub,Columbus,Bugeater Brown Ale,4.4%,?,?,north_american_ale|american_style_brown_ale
Gottberg Brew Pub,Columbus,Cow Palace Scotch Ale,6.8%,?,?,british_ale|scotch_ale
Gottberg Brew Pub,Columbus,DSB / Dusters Special Bitter,5.6%,?,?,?
Gottberg Brew Pub,Columbus,Doppelbock (discontinued),?,?,?,german_lager|traditional_german_style_bock
Gottberg Brew Pub,Columbus,Double Gueuze (discontinued),?,?,?,belgian_and_french_ale|belgian_style_fruit_lambic
Gottberg Brew Pub,Columbus,Eighty-Shilling Scottish Ale (80/-),5.3%,?,?,?
Gottberg Brew Pub,Columbus,English Brown Ale (discontinued),?,?,?,north_american_ale|american_style_brown_ale
Gottberg Brew Pub,Columbus,Fire in the Hole!,?,?,?,?
Gottberg Brew Pub,Columbus,Heavenly Helles,5.3%,?,?,?
Gottberg Brew Pub,Columbus,Impromptu Pale Ale,5%,?,?,north_american_ale|american_style_pale_ale
Gottberg Brew Pub,Columbus,Irish Porter (discontinued),?,?,?,irish_ale|porter
Gottberg Brew Pub,Columbus,Jack of Spades Schwarzbier,3.9%,?,?,german_lager|german_style_schwarzbier
Gottberg Brew Pub,Columbus,Model-A-Tor Doppelbock,7.4%,?,?,german_lager|traditional_german_style_bock
Gottberg Brew Pub,Columbus,Octoberfest (discontinued),?,?,?,german_lager|german_style_oktoberfest
Gottberg Brew Pub,Columbus,Old Powerhouse Lager (discontinued),?,?,?,north_american_lager|american_style_lager
Gottberg Brew Pub,Columbus,Pioneer Pale Ale (discontinued),?,?,?,north_american_ale|american_style_pale_ale
Gottberg Brew Pub,Columbus,Princess of Darkness Porter,4.6%,?,?,irish_ale|porter
Gottberg Brew Pub,Columbus,Rumble Seat Stout (discontinued),?,?,?,north_american_ale|american_style_stout
Gottberg Brew Pub,Columbus,Steinworthy Oktoberfest,6%,?,?,german_lager|german_style_oktoberfest
Gottberg Brew Pub,Columbus,StÃ¼venbrÃ¤u Maibock,?,?,?,german_lager|traditional_german_style_bock
Gottberg Brew Pub,Columbus,Tin Lizzie Hefeweizen,5.5%,?,?,german_ale|south_german_style_hefeweizen
Gottberg Brew Pub,Columbus,Toil & Trubbel Dubbel,8.1%,?,?,?
Gottberg Brew Pub,Columbus,Wilsteraner Altbier,5.6%,?,?,north_american_ale|american_style_brown_ale
Granite City Food & Brewery - Omaha,Omaha,Broad Axe Stout,5%,?,?,north_american_ale|american_style_stout
Granite City Food & Brewery - Omaha,Omaha,Duke IPA,5.1%,?,?,north_american_ale|american_style_india_pale_ale
Granite City Food & Brewery - Omaha,Omaha,Northern Light Lager,4.4%,?,?,north_american_lager|american_style_lager
Jaipur Restaurant and Brewpub,Omaha,Porter,?,?,?,irish_ale|porter
Jobber's Canyon Restaurant & Brewery,Omaha,Oktoberfest,?,?,?,german_lager|german_style_oktoberfest
Jobber's Canyon Restaurant & Brewery,Omaha,Porter,?,?,?,irish_ale|porter
Jobber's Canyon Restaurant & Brewery,Omaha,Tip Top Pale Ale,?,?,?,north_american_ale|american_style_pale_ale
Murphy's Wagon Wheel,Hastings,American Pilsner,?,?,?,?
Murphy's Wagon Wheel,Hastings,Bock Dark,?,?,?,german_lager|traditional_german_style_bock
