Brewery,City,Name,Abv,Ibu,Srm,Tags
Baron Brewing Company,Seattle,Baron Helles Bock,6.4%,?,?,german_lager|german_style_heller_bock_maibock
Baron Brewing Company,Seattle,Baron Oktoberfest,?,?,?,german_lager|german_style_oktoberfest
Baron Brewing Company,Seattle,Baron Pilsner,4.7%,?,?,german_lager|german_style_pilsener
Baron Brewing Company,Seattle,Baron Schwarzbier,4.9%,?,?,german_lager|german_style_schwarzbier
Big Time Brewing,Seattle,Atlas Amber Ale,?,?,?,north_american_ale|american_style_amber_red_ale
Big Time Brewing,Seattle,Bhagwan's Best IPA,5%,?,?,north_american_ale|american_style_india_pale_ale
Big Time Brewing,Seattle,Black Mulligan Dublin Stout,?,?,?,north_american_ale|american_style_stout
Big Time Brewing,Seattle,Coal Creek Porter,?,?,?,irish_ale|porter
Big Time Brewing,Seattle,Faux Paddy Irish Ale,?,?,?,?
Big Time Brewing,Seattle,Old Rip Oatmeal Stout,?,?,?,north_american_ale|american_style_stout
Big Time Brewing,Seattle,Prime Time Pale Ale,?,?,?,north_american_ale|american_style_pale_ale
Big Time Brewing,Seattle,Scarlet Fire IPA,?,?,?,north_american_ale|american_style_india_pale_ale
Big Time Brewing,Seattle,Slam Dunkelweizen,8%,?,?,?
Big Time Brewing,Seattle,Snow Melt Nitrogen Pale,?,?,?,north_american_ale|american_style_pale_ale
Big Time Brewing,Seattle,Trombipulator,?,?,?,?
Boundary Bay Brewery and Bistro,Bellingham,Doppel Bock,?,?,?,german_lager|traditional_german_style_bock
Diamond Knot Brewery & Alehouse,Mukilteo,Brown Ale,5.6%,?,?,north_american_ale|american_style_brown_ale
Diamond Knot Brewery & Alehouse,Mukilteo,E.S.B.,?,?,?,?
Diamond Knot Brewery & Alehouse,Mukilteo,Golden Ale,5.2%,?,?,?
Diamond Knot Brewery & Alehouse,Mukilteo,Hefe-Weizen,5.8%,?,?,german_ale|south_german_style_hefeweizen
Diamond Knot Brewery & Alehouse,Mukilteo,IPA,6.2%,?,?,north_american_ale|american_style_india_pale_ale
Diamond Knot Brewery & Alehouse,Mukilteo,Icebreaker Barley Wine,?,?,?,?
Diamond Knot Brewery & Alehouse,Mukilteo,Industrial IPA,7.4%,?,?,north_american_ale|imperial_or_double_india_pale_ale
Diamond Knot Brewery & Alehouse,Mukilteo,Lighthouse Ale,4.3%,?,?,north_american_ale|american_style_pale_ale
Diamond Knot Brewery & Alehouse,Mukilteo,Possession Porter,5.6%,?,?,irish_ale|porter
Diamond Knot Brewery & Alehouse,Mukilteo,Steamer Glide Stout,4.8%,?,?,north_american_ale|american_style_stout
Dick's Brewing,Centralia,Barley Wine Ale,10%,?,?,?
Dick's Brewing,Centralia,Best Bitter,5.5%,?,?,?
Dick's Brewing,Centralia,Bottleworks IPA,8.5%,?,?,north_american_ale|american_style_india_pale_ale
Dick's Brewing,Centralia,Cream Stout,?,?,?,north_american_ale|american_style_stout
Dick's Brewing,Centralia,Danger Ale,5.2%,?,?,north_american_ale|american_style_brown_ale
Dick's Brewing,Centralia,Double Diamond Winter,8.5%,?,?,?
Dick's Brewing,Centralia,Grand Cru,10%,?,?,?
Dick's Brewing,Centralia,IPA,5.5%,?,?,north_american_ale|american_style_india_pale_ale
Dick's Brewing,Centralia,Irish Style Ale,5.2%,?,?,?
Dick's Brewing,Centralia,Lava Rock Porter,7%,?,?,irish_ale|porter
Dick's Brewing,Centralia,Pale Ale,?,?,?,north_american_ale|american_style_pale_ale
Dick's Brewing,Centralia,Silk Lady,4.4%,?,?,north_american_ale|american_style_pale_ale
Eagle Brewing,Mukilteo,Golden,?,?,?,?
Elliott Bay Brewery and Pub,Seattle,Alembic Pale,5.5%,?,?,north_american_ale|american_style_pale_ale
Elliott Bay Brewery and Pub,Seattle,Dry Hopped IPA,?,?,?,north_american_ale|american_style_india_pale_ale
Elliott Bay Brewery and Pub,Seattle,IPA,5.5%,?,?,north_american_ale|american_style_india_pale_ale
Elliott Bay Brewery and Pub,Seattle,Luna Weizen,4.5%,?,?,north_american_lager|american_style_lager
Elliott Bay Brewery and Pub,Seattle,No Doubt Stout,5.75%,?,?,north_american_ale|american_style_stout
Elliott Bay Brewery and Pub,Seattle,Riot Ale,7.5%,?,?,north_american_ale|american_style_pale_ale
Elysian Brewery & Public House,Seattle,Ambrosia Maibock,5.3%,?,?,german_lager|traditional_german_style_bock
Elysian Brewery & Public House,Seattle,Avatar Jasmine IPA,6.2%,?,?,?
Elysian Brewery & Public House,Seattle,BiFrÃ¶st Winter Ale,?,?,?,north_american_ale|american_style_pale_ale
Elysian Brewery & Public House,Seattle,BÃªte Blanche,?,?,?,?
Elysian Brewery & Public House,Seattle,Cyclops Barleywine,?,?,?,?
Elysian Brewery & Public House,Seattle,Elysian Fields Pale Ale,4.8%,?,?,north_american_ale|american_style_pale_ale
Elysian Brewery & Public House,Seattle,Loki,4.8%,?,?,?
Elysian Brewery & Public House,Seattle,Perseus Porter,5.4%,?,?,irish_ale|porter
Elysian Brewery & Public House,Seattle,The Immortal IPA,6.3%,?,?,north_american_ale|american_style_india_pale_ale
Elysian Brewery & Public House,Seattle,The Wise ESB,5.9%,?,?,british_ale|extra_special_bitter
Elysian Brewery & Public House,Seattle,Whoville Weizenbock,6.6%,?,?,german_ale|south_german_style_weizenbock
Elysian Brewery & Public House,Seattle,Zephyrus Pilsner,4.7%,?,?,?
Elysian Brewing - TangleTown,Seattle,AK-47 Malt Liquor,6%,?,?,?
Elysian Brewing - TangleTown,Seattle,Foster Child Australian Lager,4%,?,?,north_american_lager|american_style_lager
Elysian Brewing - TangleTown,Seattle,Warminster Special Bitter,3.8%,?,?,?
Engine House #9,Tacoma,Barleywine,?,?,?,?
Engine House #9,Tacoma,Belgian White,4.1%,?,?,?
Engine House #9,Tacoma,Firehouse Red,?,?,?,north_american_ale|american_style_amber_red_ale
Engine House #9,Tacoma,Hefeweizen,4.3%,?,?,german_ale|south_german_style_hefeweizen
Engine House #9,Tacoma,Imperial Pale,?,?,?,north_american_ale|american_style_pale_ale
Engine House #9,Tacoma,India Pale Ale,6.6%,?,?,north_american_ale|american_style_pale_ale
Engine House #9,Tacoma,Irish Stout,?,?,?,north_american_ale|american_style_stout
Engine House #9,Tacoma,Porter,5.9%,?,?,irish_ale|porter
Engine House #9,Tacoma,Spring Bock,?,?,?,german_lager|traditional_german_style_bock
Engine House #9,Tacoma,Tacoma Brew,5.1%,?,?,?
Far West Ireland Brewing,Redmond,Three Threads Porter,?,?,?,irish_ale|porter
Far West Ireland Brewing,Redmond,Wild Banshee Barleywine,9.8%,?,?,?
Fish Brewing Company & Fish Tail Brewpub,Olympia,10 Squared (10Â²),10%,?,?,north_american_ale|american_style_india_pale_ale
