Brewery,City,Name,Abv,Ibu,Srm,Tags
Dogfish Head Craft Brewery,Milton,120 Minute IPA,18%,?,?,north_american_ale|imperial_or_double_india_pale_ale
Dogfish Head Craft Brewery,Milton,60 Minute IPA,6%,?,?,north_american_ale|american_style_india_pale_ale
Dogfish Head Craft Brewery,Milton,75 Minute IPA,7.5%,?,?,north_american_ale|american_style_india_pale_ale
Dogfish Head Craft Brewery,Milton,90 Minute IPA,9%,?,?,north_american_ale|imperial_or_double_india_pale_ale
Dogfish Head Craft Brewery,Milton,Aprihop,7%,?,?,other_style|fruit_beer
Dogfish Head Craft Brewery,Milton,Beewolf Braggot,7%,?,?,?
Dogfish Head Craft Brewery,Milton,Black & Blue,10%,?,?,other_style|fruit_beer
Dogfish Head Craft Brewery,Milton,Burton Baton,10%,?,?,north_american_ale|american_style_pale_ale
Dogfish Head Craft Brewery,Milton,Chateau Jiahu,9.5%,?,?,other_style|herb_and_spice_beer
Dogfish Head Craft Brewery,Milton,Chicory Stout,5.2%,?,?,north_american_ale|american_style_stout
Dogfish Head Craft Brewery,Milton,Festina P̻che,4.5%,?,?,?
Dogfish Head Craft Brewery,Milton,Fort,18%,?,?,other_style|fruit_beer
Dogfish Head Craft Brewery,Milton,Immort Ale,11%,?,?,?
Dogfish Head Craft Brewery,Milton,Indian Brown Ale,7.2%,?,?,north_american_ale|american_style_brown_ale
Dogfish Head Craft Brewery,Milton,Lawnmower,4%,?,?,north_american_ale|american_style_pale_ale
Dogfish Head Craft Brewery,Milton,Midas Touch Golden Elixir,9%,?,?,?
Dogfish Head Craft Brewery,Milton,Olde School Barleywine,15.04%,?,?,north_american_ale|american_style_barley_wine_ale
Dogfish Head Craft Brewery,Milton,Palo Santo Marron,12%,?,?,north_american_ale|american_style_brown_ale
Dogfish Head Craft Brewery,Milton,Punkin Ale,7%,?,?,other_style|pumpkin_beer
Dogfish Head Craft Brewery,Milton,Raison D'Etre,8%,?,?,north_american_ale|dark_american_belgo_style_ale
Dogfish Head Craft Brewery,Milton,Raison D'Extra,20%,?,?,north_american_ale|dark_american_belgo_style_ale
Dogfish Head Craft Brewery,Milton,Red & White,10%,?,?,belgian_and_french_ale|belgian_style_white
Dogfish Head Craft Brewery,Milton,Shelter Pale Ale,5%,?,?,north_american_ale|american_style_pale_ale
Dogfish Head Craft Brewery,Milton,Squall IPA,9%,?,?,north_american_ale|imperial_or_double_india_pale_ale
Dogfish Head Craft Brewery,Milton,Theobroma,9%,?,?,?
Dogfish Head Craft Brewery,Milton,World Wide Stout,18%,?,?,?
Dogfish Head Craft Brewery,Milton,Zwaanend |ale,8%,?,?,other_style|american_rye_ale_or_lager
Iron Hill Brewery - Newark,Newark,Pig Iron Porter,?,?,?,irish_ale|porter
Iron Hill Brewery - Wilmingon,Wilmington,Anvil Ale,4.8%,?,?,british_ale|extra_special_bitter
Iron Hill Brewery - Wilmingon,Wilmington,Irish Red Ale,?,?,?,?
Iron Hill Brewery - Wilmingon,Wilmington,Iron Hill Belgian Tripel,9.5%,?,?,?
Iron Hill Brewery - Wilmingon,Wilmington,Ironbound Ale,5.1%,?,?,north_american_ale|american_style_pale_ale
Iron Hill Brewery - Wilmingon,Wilmington,Kryptonite Imperial IPA,9%,?,?,north_american_ale|imperial_or_double_india_pale_ale
Iron Hill Brewery - Wilmingon,Wilmington,Light Lager,?,?,?,north_american_lager|american_style_lager
Iron Hill Brewery - Wilmingon,Wilmington,Lodestone Lager,?,?,?,?
Iron Hill Brewery - Wilmingon,Wilmington,Pig Iron Porter,?,?,?,irish_ale|porter
Iron Hill Brewery - Wilmingon,Wilmington,Russian Imperial Stout,9.5%,?,?,north_american_ale|american_style_stout
Iron Hill Brewery - Wilmingon,Wilmington,Vienna Red Lager,5%,?,?,north_american_lager|american_style_lager
John Harvard's Brewhouse - Wilmington,Wilmington,Half Again Bock,?,?,?,german_lager|traditional_german_style_bock
John Harvard's Brewhouse - Wilmington,Wilmington,Light Lager,?,?,?,north_american_lager|american_style_lager
John Harvard's Brewhouse - Wilmington,Wilmington,Pale Ale,?,?,?,north_american_ale|american_style_pale_ale
John Harvard's Brewhouse - Wilmington,Wilmington,Scottish Ale,?,?,?,?
John Harvard's Brewhouse - Wilmington,Wilmington,Winterfest Lager,?,?,?,german_lager|german_style_oktoberfest
Old Dominion Brewing Co.,Dover,Hop Mountain,5.6%,?,?,north_american_ale|american_style_pale_ale
Old Dominion Brewing Co.,Dover,Oak Barrel Stout,5.2%,?,?,north_american_ale|american_style_stout
Stewart's Brewing,Bear,Highlander Stout,?,?,?,north_american_ale|american_style_stout
