Name,Address,City,State,Code,Website,Tags
Aksarben Brewing (BOP),11337 Davenport St.,Omaha,NE,68130,?,?
Breckenridge BBQ of Omaha,?,Omaha,NE,,?,?
Copper Eagle Brewing,?,Grand Island,NE,,?,?
Crane River Brewpub and Cafe,?,Lincoln,NE,,?,?
Empyrean Brewing Company,729 Q Street,Lincoln,NE,68508,?,?
Gottberg Brew Pub,2804 13th Street,Columbus,NE,68601,?,?
Granite City Food & Brewery - Omaha,1001 North 102nd Street,Omaha,NE,68114,?,?
Jaipur Restaurant and Brewpub,10922 Elm Street,Omaha,NE,68144,?,?
Jobber's Canyon Restaurant & Brewery,?,Omaha,NE,,?,?
Murphy's Wagon Wheel,107 North Lincoln Avenue,Hastings,NE,68901,?,?
Nebraska Brewing Company,7474 Towne Center Parkway #101,Papillion,NE,68046,?,?
Platte Valley Brewing,14 East Railroad,Kearney,NE,68847,?,?
Spilker Ales,300 West Fourth Street,Cortland,NE,68331,?,?
Thunderhead Brewery,18 East 21st Street,Kearney,NE,68847,?,?
Thunderhead Brewery #2,120 East Third Street,Grand Island,NE,68801,?,?
Upstream Brewing Company at Legacy,17070 Wright Plaza,Omaha,NE,68130,?,?
Upstream Brewing Old Market,514 South Eleventh Street,Omaha,NE,68102,?,?
